dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,3.803433,0.0,0.19657071,5.228756,2.0386543,1.5957526,4.5178795,4.056419,4.1670003,0.0,5.491667,1.0927346,0.0,1.1855202,0.0,0.0,1.237236,0.0,2.7829025,0.47982427,0.0,4.094336,0.0,0.0,0.0,0.9906802,0.0,1.5099083,5.3710327,1.314198,0.8007681,HAM,6.0
0.0,4.0297956,0.0,0.2033793,5.384924,2.077127,1.9268897,4.874492,3.9432874,4.1679845,0.0,5.3790255,1.4697037,0.0,0.8511447,0.0,0.0,0.6276064,0.0,3.3968298,0.20554401,0.503579,3.731108,0.30154073,0.0,0.0,0.7035698,0.0,2.0626504,5.2960434,1.9531983,0.57067835,HAM,7.0
0.0,4.055259,0.0,0.014100872,5.4136615,2.211932,1.7747716,4.762081,4.121304,4.2167015,0.0,5.6986313,1.1559405,0.0,1.002858,0.0,0.0,0.9416393,0.0,3.0067239,0.20260362,0.031448167,4.0126295,0.0,0.0,0.0,0.7763973,0.0,1.6694552,5.466317,1.4506974,0.64921284,HAM,8.0
0.0,3.8180075,0.0,0.4621669,5.271552,1.8833079,1.7592317,4.5522313,3.703439,4.06564,0.0,4.8694096,1.4726574,0.0,0.6449441,0.0,0.0,0.3153498,0.0,3.6205082,0.34201112,0.845989,3.3977869,0.84301937,0.0,0.0,0.4517981,0.0,2.3511684,4.944109,2.3533561,0.52836686,HAM,9.0
0.0,4.253591,0.0,0.2407741,5.6796064,2.0892663,1.9650778,5.012993,3.8273273,4.4285307,0.0,5.2129264,1.7435206,0.0,0.3888431,0.0,0.0,0.28349838,0.0,3.774663,0.21796054,0.7714235,3.873351,0.5473694,0.0,0.0,0.1985462,0.0,2.314948,5.3631635,2.2904124,0.30780575,HAM,10.0
0.0,3.5684915,0.0,0.2548777,4.9177313,1.847251,1.5997002,4.266834,3.6155083,3.8747208,0.0,4.9153485,1.1968641,0.0,0.9001583,0.0,0.0,0.81323516,0.0,2.9467273,0.37423334,0.30378348,3.5618744,0.17177045,0.0,0.0,0.7095314,0.0,1.7517172,4.867724,1.621433,0.6207039,HAM,11.0
0.0,3.8754854,0.0,0.1452205,5.144682,1.9823169,2.189106,4.934255,3.657383,3.9327664,0.0,5.336706,1.6437647,0.0,0.895221,0.0,0.0,0.6273031,0.0,3.2644997,0.09691473,0.5771899,3.8113694,0.2288656,0.0,0.0,0.8089614,0.0,1.9603393,5.1012363,1.859558,0.40074486,HAM,14.0
0.0,4.0663905,0.0,0.15730375,5.309332,2.1476424,2.1721823,5.0712943,4.0061135,4.012452,0.0,5.680236,1.4573301,0.0,1.0379021,0.0,0.0,0.5644169,0.0,3.4497464,0.07173561,0.58687645,3.7738078,0.24933527,0.0,0.0,0.9073915,0.0,2.1176505,5.317996,1.9265227,0.55319315,HAM,15.0
0.0,4.2842226,0.0,0.0,5.070818,2.419266,2.8232627,5.6503606,3.8345873,3.683523,0.0,6.2685714,1.6989126,0.0,0.9964669,0.0,0.0,0.4905933,0.0,3.1979027,0.0,0.35189772,3.9986224,0.0,0.0,0.0,0.8883883,0.0,1.6973252,5.3352623,1.4591886,0.05790407,HAM,16.0
0.0,3.847525,0.0,0.0,4.917316,1.9553562,2.2270691,4.876967,3.4131525,3.7496636,0.0,5.109074,1.7023128,0.0,0.62957084,0.0,0.0,0.47865734,0.0,3.194754,0.0,0.5739019,3.6489472,0.13819769,0.0,0.0,0.5099671,0.0,1.8670816,4.8870287,1.7966144,0.15244274,HAM,17.0
0.0,3.9993787,0.0,0.0,5.071242,2.095123,2.2191262,4.9957414,3.6080945,3.8507671,0.0,5.3336234,1.6125247,0.0,0.7102901,0.0,0.0,0.4803731,0.0,3.254513,0.0,0.48976266,3.6519194,0.07417679,0.0,0.0,0.5374081,0.0,1.8948101,5.0874195,1.786155,0.22243157,HAM,18.0
0.0,3.6619992,0.0,0.0,4.6808624,1.9645617,2.0503273,4.6374564,3.446127,3.5924401,0.0,5.19349,1.427396,0.0,0.8389975,0.0,0.0,0.71508837,0.0,2.8123777,0.0,0.24667202,3.6639931,0.0,0.0,0.0,0.69980025,0.0,1.5410197,4.7855325,1.4083276,0.27633467,HAM,19.0
0.0,3.7114797,0.0,0.0,4.7074313,2.0000792,2.1471767,4.710631,3.390576,3.5427284,0.0,5.095128,1.5109445,0.0,0.7389128,0.0,0.0,0.49026054,0.0,2.9406247,0.0,0.38603935,3.416504,0.0,0.0,0.0,0.6078143,0.0,1.6789052,4.7584205,1.5815153,0.20223258,HAM,20.0
0.0,3.7555885,0.0,0.0,4.8362064,1.9567198,2.023479,4.634816,3.3669558,3.662246,0.0,4.8834667,1.5385721,0.0,0.48358905,0.0,0.0,0.22489518,0.0,3.2096138,0.0,0.61096025,3.3797865,0.22288516,0.0,0.0,0.37372047,0.0,1.917468,4.716822,1.8562218,0.169662,HAM,21.0
